system:index,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002761_0,3,3,3,3,3,3,3,-41.36925362,-13.53284811,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.369170548508,-13.53280534491115]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000027b1_0,3,3,3,3,3,3,3,-41.46088178,-12.79281598,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.460798707488195,-12.792773213853488]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000027e3_0,3,3,3,3,3,3,3,-41.45117997,-13.2746723,599589.944358633,7741,4,4,4,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.4510969024197,-13.2746295322552]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002b83_0,3,3,3,3,3,3,3,-40.73082095,-12.04981941,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.730737876084255,-12.049776642358232]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000023f8_0,4,4,4,4,4,4,4,-41.27196608,-11.98702717,336218.045360986,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.27188300323786,-11.986984403998278]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000025f3_0,4,4,4,4,4,4,4,-41.49780254,-12.32281742,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.497719465665504,-12.322774657202155]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002619_0,4,4,4,4,4,4,4,-41.69992348,-12.71412356,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.6998404045924,-12.71408079496462]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002715_0,4,4,4,4,4,4,4,-41.23531481,-12.5082297,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.23523173964578,-12.508186931844424]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000286e_0,4,4,4,4,4,4,4,-41.83386229,-12.53086724,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.83377921345462,-12.530824477004236]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002988_0,4,4,4,4,4,4,4,-41.33287185,-13.11324504,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.33278877950116,-13.113202275698923]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002a35_0,4,4,4,4,4,4,4,-41.63120236,-12.22364342,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.63111928535725,-12.22360064983536]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004519_0,4,4,4,4,4,4,4,-41.63632275,-12.49610244,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.636239682476734,-12.49605967550881]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048cb_0,27,4,4,4,4,4,4,-40.97417456,-13.32749324,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.97409148655223,-13.327450470961429]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000494b_0,4,4,4,4,4,4,4,-41.23531481,-12.38318421,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.23523173964578,-12.383141444294987]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000025a9_0,15,15,15,15,15,15,15,-41.94408557,-12.59743241,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.94400249881608,-12.597389639557493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000025ab_0,4,15,15,15,15,15,15,-40.42844802,-12.12716435,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.42836495144962,-12.127121588320923]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000265e_0,15,4,4,4,4,4,4,-41.66542817,-12.80359576,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.665345097682206,-12.803552997262923]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000268a_0,15,15,15,15,15,15,15,-40.57559207,-12.6726214,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.575508994988404,-12.672578628838297]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000027bc_0,15,15,15,15,15,15,15,-40.33304694,-12.14360352,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.33296386827613,-12.14356075802031]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000283f_0,15,15,15,15,15,15,15,-40.4990556,-12.31931399,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.49897253278142,-12.319271227594088]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000492d_0,4,4,4,4,4,4,4,-41.19381265,-11.9506454,336218.045360986,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.19372957351946,-11.950602634991437]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004467_0,3,3,3,3,3,3,3,-41.32451752,-12.28940009,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.32443444735885,-12.289357328632908]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002460_0,4,4,4,4,4,4,4,-40.86341228,-11.88300226,336218.045360986,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.8633292120203,-11.882959494097237]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002750_0,4,4,4,4,4,4,4,-41.72768142,-12.75993764,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.72759834687169,-12.759894874454714]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002766_0,4,4,4,4,4,4,4,-40.85236301,-12.61521905,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.85227993402563,-12.615176282183059]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002767_0,4,15,15,15,15,15,15,-40.98252889,-12.0999454,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.98244581869455,-12.099902635212102]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002780_0,4,4,4,4,4,4,4,-41.90015795,-13.0359001,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.90007488142264,-13.035857329736231]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000279e_0,4,4,4,4,4,4,4,-41.64090416,-12.57722031,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.640821090425746,-12.577177545664803]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002909_0,4,15,15,15,15,15,15,-39.92664911,-12.74996634,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.926566033740464,-12.749923574800988]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000003912_0,4,4,4,4,4,4,4,-41.87401698,-12.71681851,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.87393390665476,-12.716775740816978]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004640_0,4,4,4,4,4,4,4,-40.36619477,-12.27700334,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.36611170226014,-12.27696057771206]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000249c_0,15,15,15,15,15,15,15,-40.98252889,-11.98999161,336218.045360986,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.98244581869455,-11.989948844435872]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000024ab_0,15,15,15,15,15,15,15,-40.58152095,-12.09617248,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.58143787586359,-12.0961297110188]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000025d4_0,15,18,18,18,18,18,18,-41.37787745,-12.18294973,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.377794375235545,-12.182906967464746]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000025ec_0,15,15,15,15,15,15,15,-41.72094405,-12.07757735,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.720860982240794,-12.077534584637526]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002616_0,15,15,15,15,15,15,15,-41.07712149,-12.21825352,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.07703841811233,-12.218210758130644]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000026ae_0,15,15,15,15,15,15,15,-41.47893792,-12.15707825,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.47885484469899,-12.157035487282103]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002731_0,15,15,15,15,15,15,15,-40.71303431,-12.03338024,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.71295123345869,-12.033337472658845]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002755_0,15,15,15,15,15,15,15,-40.41605127,-12.28454919,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.41596820052878,-12.284506426098664]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002779_0,15,15,15,15,15,15,15,-40.7580399,-12.57317789,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.75795682919308,-12.573135126886266]}"
