system:index,area,class,territory,year,.geo
9_16_0,1121.9252553251968,1,24,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_16_1,31521.283919720103,2,24,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_7_0,0.0017857496337890626,1,15,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_8_0,4677.894918882166,1,16,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_8_1,114127.27081265769,2,16,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_9_0,10395.56267936913,1,17,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_9_1,138478.47925304074,2,17,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_10_0,3770.377322203158,1,18,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_10_1,46983.39001265677,2,18,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_11_0,3574.3913667816933,1,19,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_11_1,48790.59204475326,2,19,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_12_0,5541.209447505761,1,20,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_12_1,77059.34333650244,2,20,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_13_0,834.3731503315385,1,21,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_13_1,12381.740463717057,2,21,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_14_0,739.2883229498241,1,22,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_14_1,11406.189981069467,2,22,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_15_0,18142.719836440734,1,23,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_15_1,333304.4740335193,2,23,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_16_0,1136.0684565999145,1,24,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_16_1,31507.14071844498,2,24,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_7_0,0.0017857496337890626,1,15,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_8_0,4731.327765098534,1,16,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_8_1,114073.83796644036,2,16,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_9_0,10635.190809181331,1,17,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_9_1,138238.85112322963,2,17,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_10_0,3944.2560741879006,1,18,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_10_1,46809.51126067168,2,18,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_11_0,3464.3982725138208,1,19,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_11_1,48900.5851390197,2,19,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_12_0,5516.939545070692,1,20,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_12_1,77083.61323893824,2,20,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_13_0,927.6482554708201,1,21,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_13_1,12288.46535857741,2,21,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_14_0,782.2442023565018,1,22,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_14_1,11363.234101663042,2,22,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_15_0,18775.035159520434,1,23,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_15_1,332672.15871044016,2,23,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_16_0,1136.3210073656603,1,24,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_16_1,31506.88816767959,2,24,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_7_0,0.0017857496337890626,1,15,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_8_0,4920.531188140345,1,16,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_8_1,113884.63454339746,2,16,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_9_0,10041.75549711556,1,17,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_9_1,138832.2864352965,2,17,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_10_0,3574.6912720139208,1,18,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_10_1,47179.076062845765,2,18,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_11_0,3471.6620396417215,1,19,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_11_1,48893.321371892176,2,19,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_12_0,5763.949371079626,1,20,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_12_1,76836.60341292941,2,20,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_13_0,913.1599480607262,1,21,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_13_1,12302.953665987792,2,21,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_14_0,699.7998396135819,1,22,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_14_1,11445.678464405271,2,22,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_15_0,18414.28564875191,1,23,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_15_1,333032.90822120965,2,23,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_16_0,1137.2950408319086,1,24,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_16_1,31505.914134212973,2,24,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_7_0,8.928746948242188E-4,1,15,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_7_1,8.928749389648438E-4,2,15,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_8_0,5341.395966008491,1,16,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_8_1,113463.76976553093,2,16,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_9_0,10810.761499672415,1,17,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_9_1,138063.2804327375,2,17,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_10_0,3516.15608343211,1,18,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_10_1,47237.61125142716,2,18,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_11_0,3586.4760584022843,1,19,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_11_1,48778.50735313159,2,19,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_12_0,5172.45241065572,1,20,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_12_1,77428.10037335305,2,20,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_13_0,857.8890019355449,1,21,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_13_1,12358.224612112974,2,21,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_14_0,785.7106540514524,1,22,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_14_1,11359.76764996744,2,22,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_15_0,18391.682266525935,1,23,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_15_1,333055.5116034331,2,23,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_16_0,1199.1370032020268,1,24,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_16_1,31444.072171843185,2,24,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_7_0,8.928746948242188E-4,1,15,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_7_1,8.928749389648438E-4,2,15,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_8_0,5198.0118133086735,1,16,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_8_1,113607.15391823082,2,16,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_9_0,10648.30192760359,1,17,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_9_1,138225.74000480835,2,17,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_10_0,3619.9964780603873,1,18,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_10_1,47133.77085679932,2,18,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_11_0,3528.121292213112,1,19,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_11_1,48836.86211931996,2,19,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_12_0,5547.294873249171,1,20,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_12_1,77053.25791076009,2,20,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_13_0,831.41298966656,1,21,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_13_1,12384.700624381636,2,21,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_14_0,714.6339528214692,1,22,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_14_1,11430.84435119724,2,22,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_15_0,18380.930051492636,1,23,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_15_1,333066.26381846797,2,23,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_16_0,1199.6054564459857,1,24,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_16_1,31443.60371859886,2,24,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
