,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,latitude,longitude,coord_lat,refIBGE_2000,refIBGE_2010,refIBGE_2012,refIBGE_2014,refIBGE_2016,refIBGE_2018,refIBGE_2020
64,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.21375524,-3.683090516,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.6830477491258327,-41.21367217282691,-41.21367217282691,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.21052131,-3.769059288,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.7690165218160705,-41.210438237804084,-41.21043823780408,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.33907023,-3.850985642,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.850942875727771,-41.338987154961586,-41.33898715496159,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.53984369,-3.545648277,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.5456055106555455,-41.5397606209623,-41.5397606209623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.68779622,-3.240580407,642926.727352927,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.240537640168556,-41.68771314825678,-41.68771314825678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.28166788,-3.763669397,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.7636266301113537,-41.28158480830635,-41.28158480830635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.47112257,-3.921323729,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.9212809624743294,-41.471039501727155,-41.47103950172716,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.28597979,-3.53406001,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.534017243490404,-41.28589672167012,-41.28589672167012,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.20513142,-3.607901526,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.6078587598450285,-41.20504834609937,-41.20504834609937,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.33125488,-3.712195931,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.712153164331305,-41.33117181198975,-41.33117181198975,1.0,1.0,1.0,1.0,1.0,1.0,1.0
